"";"logFC";"logCPM";"F";"PValue";"FDR"
"UTP6";0,383851498538477;6,65538319015617;1,60503598507583;0,214027065592146;0,455399803167078
"GRID2";0,984284785331121;4,08110491575315;1,60474517059626;0,214067610249368;0,455400631746028
"HEYL";-0,999103114618911;3,37526220996709;1,60419996382626;0,214143647184859;0,455476950998404
"NKIRAS1";-0,628687524675995;3,5077181992187;1,60382734602516;0,214195633255975;0,455502095772738
"ZNF672";-0,372172332932831;5,20715411098089;1,6025118557035;0,214379289405153;0,455807184316431
"SEMA6B";0,814434896797486;5,18003767967826;1,60053182591109;0,214656088379973;0,456310159009798
"TUBGCP5";0,452170584075772;4,59591708839481;1,59954428229835;0,214794307108578;0,456518410217088
"ITGAL";0,354946666299809;7,38549475501654;1,59879757648843;0,214898890540292;0,45665510916572
"PICALM";0,201736847301168;8,82187477417113;1,59777780074109;0,215041821561511;0,456873229361014
"NSMCE4A";0,468866982168281;4,00770021827945;1,59747831481497;0,215083819563396;0,456876277000653
"ZNF585A";0,466770198422962;3,9920734477704;1,59719309238121;0,215123826751035;0,456876277000653
"KIAA1279";-0,390164505768067;4,71201750958162;1,59455139459891;0,215494805425432;0,457364104291782
"USP32P1";0,976177351899777;6,74810715305308;1,59442060535056;0,215513192909659;0,457364104291782
"PNKP";0,338688133536629;4,95554083719903;1,59415219033183;0,215550935079823;0,457364104291782
"PDCD2";0,413130449728704;4,77557961727153;1,5941203543882;0,215555412112578;0,457364104291782
"GOLGA8O";0,430447834101382;5,80304788564307;1,59382292001894;0,215597245329489;0,457364104291782
"SYNM";-0,766335638737256;4,6258570228777;1,59356822831337;0,215633074887047;0,457364104291782
"MST1";0,589446841892556;3,69627889480576;1,5935486975933;0,215635822735928;0,457364104291782
"PROS1";0,428990350264159;5,15221962425414;1,59261223449706;0,215767627903259;0,4575529839471
"LYAR";0,423632579601203;4,34113978755698;1,59204789853073;0,215847104994451;0,4575529839471
"ZNF548";-0,418577355302433;4,50512936962682;1,59191606709844;0,215865676408374;0,4575529839471
"MYO1G";1,07154999193601;5,50354861323362;1,59177000435638;0,215886254924692;0,4575529839471
"SRSF6";-0,328156910039893;8,7358061704799;1,59097245712232;0,21599866263659;0,457705686278319
"SAYSD1";0,505313407693694;3,78998968105534;1,59048345800069;0,216067618764757;0,457724888976295
"LMNTD2";0,764419999560856;3,24381669426402;1,59033580709619;0,216088445073546;0,457724888976295
"SLC12A6";0,22795486265628;6,45607587403872;1,58806904346673;0,216408485679356;0,458295409824647
"ANO6";-0,240729814276638;6,32713391063992;1,58785593201742;0,216438604622239;0,458295409824647
"CPSF3";0,418531050846055;4,59533815355433;1,58717057870404;0,216535500388793;0,458386961624804
"ITM2B";0,289527246000331;10,6406935549753;1,58687751388977;0,216576950463661;0,458386961624804
"APOOL";0,45704896544191;3,98572800176763;1,58669268277857;0,216603097376539;0,458386961624804
"SMAD5";0,286533405604739;5,76239292696913;1,58512228343202;0,216825409411523;0,458771822413447
"MRPS27";0,333924804199611;5,07339004465936;1,58483026942364;0,216866779157675;0,458773762810519
"SEC16A";0,270204328806824;6,89974938370516;1,58395717028416;0,216990529650606;0,458896163875219
"NDUFV1";0,276520136049588;6,44680312783846;1,58385112418682;0,2170055662519;0,458896163875219
"ZNF397";0,356780283788455;5,05851258183071;1,58224160789912;0,217233942626261;0,459293464452726
