"";"logFC";"logCPM";"F";"PValue";"FDR"
"ATP6V1C1";-0,0740656644442298;6,41187917791411;0,113602178956037;0,738206243864491;0,868554519313953
"RINT1";0,0847397527581232;4,58066019193056;0,113439863162515;0,738386173930257;0,868676099433926
"TUBG2";0,102409275769676;4,25296560653588;0,113270406426681;0,738574173271238;0,868807146465004
"RNF19A";0,0923875023343258;5,855778813226;0,113076402627368;0,738789598547895;0,868970424925501
"ZNF567";0,160641968172125;3,37943829780411;0,112821401123026;0,739073070721242;0,869213698542944
"SMG1";0,0818291357968202;8,32238019434976;0,112599775549244;0,739319731060438;0,869413632305726
"MRPS34";0,101636332160797;4,40368385106843;0,111977960275655;0,740013235519218;0,870138942874386
"CCDC163P";0,212880496637485;3,10850922263607;0,111787943026916;0,740225588021366;0,870263456250155
"LINC00493";0,104713834963177;3,81990349383711;0,111745899630546;0,740272600515409;0,870263456250155
"RSRC1";-0,146790430889739;3,89890380691066;0,111428524697;0,740627804423616;0,870590788761218
"RRP1B";-0,123400004861786;5,28629630709039;0,111086143149759;0,741011628240435;0,870951691975829
"PIK3R5";0,0738375269531575;7,2758046479775;0,110830991573453;0,741298092390603;0,871155156561197
"NOSIP";0,0732688337263184;4,98904322618032;0,110795145792191;0,741338366631877;0,871155156561197
"PGM1";0,176419573107934;4,25775711761394;0,110090808383965;0,74213119580141;0,871996466181495
"EPHA4";0,216523280463907;3,2101940653016;0,109983070620277;0,742252718266724;0,872048904782236
"LIX1L";-0,0910709108994821;5,05601016783423;0,109602119772164;0,742682942557849;0,872430329055564
"DUSP18";0,150921891815859;3,53984450678398;0,109559412655998;0,742731225379726;0,872430329055564
"COX6B1";-0,122090706084468;5,55896398639493;0,109303834544772;0,743020389983683;0,872679602610289
"CEP170";0,0483129403445043;7,49526535157471;0,108879147889072;0,743501719009838;0,872929723552439
"DOLK";-0,140186166739198;3,95734218755988;0,108790551416612;0,743602263511759;0,872929723552439
"ZNF496";0,0905247816215937;4,274292566776;0,10876131993563;0,743635447105667;0,872929723552439
"TBC1D8B";0,143581457327611;3,55070234182212;0,108688300934869;0,743718359980901;0,872929723552439
"MRPL1";0,129717028401803;3,60129234180979;0,108670091190224;0,743739041918883;0,872929723552439
"CCDC93";-0,0761274475428575;6,40736649369661;0,108617731242898;0,743798521097143;0,872929723552439
"C5orf30";0,182978275308463;3,34928732180019;0,108506545118439;0,743924877745703;0,872929723552439
"HRH1";-0,212498676925242;3,45909471266105;0,108486571829708;0,743947583864535;0,872929723552439
"DONSON";-0,104886802816859;4,35150224636209;0,108451271244496;0,743987720107308;0,872929723552439
"ZNF593";-0,193606450871112;2,97669734947536;0,108437780863703;0,744003060387785;0,872929723552439
"GNL3";0,0963106779660369;6,13023228702895;0,108325989967872;0,744130221693035;0,872988604967488
"ARHGAP15";-0,0983460541791055;5,5559357856669;0,108216700509047;0,744254608135693;0,873044219162897
"THRA";-0,177298416959851;4,17998242681702;0,107417628010515;0,745166190322428;0,874023142460094
"C3orf17";0,075890640542176;5,30572371199213;0,107324028610842;0,745273214584236;0,874058275760064
"KIAA1279";0,100502818350265;4,71201750958162;0,107160225343817;0,745460636727679;0,874134333355632
"OPHN1";-0,152399073424465;3,44891854397584;0,106927142234442;0,745727602518805;0,874134333355632
"EHD2";0,267803018872493;4,26047258584153;0,106882609352416;0,74577864576253;0,874134333355632
"ANP32A-IT1";-0,1785695584687;3,12450071779859;0,106877149783046;0,745784904290561;0,874134333355632
"AASDH";0,131687521280205;4,52197332197523;0,106815892692866;0,745855137967248;0,874134333355632
"TGIF2-C20orf24";0,230770451319271;4,12270114708452;0,10681162130906;0,745860036111111;0,874134333355632
"ADAM10";-0,0692075274863431;7,52942255813145;0,106773160956082;0,745904144826721;0,874134333355632
"C10orf76";0,0879819739051765;5,43862444717555;0,106729102511823;0,745954684614743;0,874134333355632
"ORC2";0,0944591085587829;4,46024074903342;0,106419796873474;0,746309817841812;0,874460134739538
"ALG12";0,103293006585293;4,11225798398488;0,106338398898719;0,746403371099371;0,874474204363384
"LOC103344931";0,149575605370135;3,29152519196492;0,106197224492752;0,746565721512978;0,874474204363384
"LOC100129917";0,265577879141079;2,96392692797859;0,106191922206906;0,746571821467249;0,874474204363384
"NFYC";0,0796750002876563;5,24689095591932;0,106141137334063;0,746630254902623;0,874474204363384
"CLDN15";0,124896451737906;3,77705281149909;0,105934931833741;0,74686767581904;0,874661948726119
"PIGX";0,182744514396414;3,22787266513345;0,105791900386436;0,747032509917424;0,874742797081781
"SLC25A30";0,0807554317932064;5,4357412376295;0,105741195374094;0,74709097368258;0,874742797081781
"GOT1";-0,122207454571054;4,39082872816207;0,10549119280382;0,747379458443204;0,874856076588701
"MCM4";-0,122018696039116;4,00744549235905;0,105465903486043;0,747408661567323;0,874856076588701
"EFTUD2";-0,075662492817322;6,00650561438205;0,105348785906327;0,747543955032347;0,874856076588701
"VPS13C";0,0715195633935575;8,58035285737581;0,105310266596092;0,747588470500037;0,874856076588701
"GS1-124K5.11";0,0780259850660654;5,30733189949133;0,105281324126555;0,747621924272246;0,874856076588701
"YWHAEP1";0,16893938570098;3,06401789322835;0,105222735625147;0,747689660645146;0,874856076588701
"GORAB";-0,125310869912565;4,43331533831689;0,105189833468845;0,747727709229722;0,874856076588701
"USP33";0,0669279878516311;5,99611780809425;0,104970607659386;0,747981393975891;0,875062614924755
"COL6A1";0,200923144739847;4,55122892422945;0,104474810408577;0,748556207301435;0,875408102834526
"PSMD5";0,0934877597804124;4,86742444724752;0,104448952745636;0,748586227346048;0,875408102834526
"CSGALNACT2";-0,132378223786639;5,2223362858894;0,104381653797323;0,748664378892796;0,875408102834526
"NBPF1";0,0910051340701378;6,76611342132492;0,104318960333782;0,748737207376585;0,875408102834526
